offer_id,step,type,start_day,due_day,due_date,hold_days,hold_until_day,hold_until_date,amount_cents,count,min_each_cents,note
trustone-checking-250,2,other,,60,,,,,,,,Enroll in e-statements within 60 days of opening ($50 of the advertised total).
trustone-checking-350,1,direct_deposit,,60,,,,,250000,,,"Direct deposits totaling $2,500 within 60 days of opening; no count or per-deposit minimum stated."
trustone-checking-350,2,other,,60,,,,,,,,Enroll in e-statements within 60 days of opening ($50 of the advertised total).
trustone-checking-500,1,direct_deposit,,60,,,,,500000,,,"Direct deposits totaling $5,000 within 60 days of opening; no count or per-deposit minimum stated."
trustone-checking-500,2,other,,60,,,,,,,,Enroll in e-statements within 60 days of opening ($50 of the advertised total).
percapita-checking-300,1,transactions,0,30,,,,,30000,,,"Month 1 of 12; $300 qualifying debit purchases in the calendar month; calendar-month timing approximated as 30-day windows. Cash substitutes, ATM withdrawals and money movement excluded; balance must stay positive."
percapita-checking-300,2,transactions,31,60,,,,,30000,,,Month 2 of 12; $300 qualifying debit purchases in the calendar month; calendar-month timing approximated as 30-day windows.
percapita-checking-300,3,transactions,61,90,,,,,30000,,,Month 3 of 12; $300 qualifying debit purchases in the calendar month; calendar-month timing approximated as 30-day windows.
percapita-checking-300,4,transactions,91,120,,,,,30000,,,Month 4 of 12; $300 qualifying debit purchases in the calendar month; calendar-month timing approximated as 30-day windows.
percapita-checking-300,5,transactions,121,150,,,,,30000,,,Month 5 of 12; $300 qualifying debit purchases in the calendar month; calendar-month timing approximated as 30-day windows.
percapita-checking-300,6,transactions,151,180,,,,,30000,,,Month 6 of 12; $300 qualifying debit purchases in the calendar month; calendar-month timing approximated as 30-day windows.
percapita-checking-300,7,transactions,181,210,,,,,30000,,,Month 7 of 12; $300 qualifying debit purchases in the calendar month; calendar-month timing approximated as 30-day windows.
percapita-checking-300,8,transactions,211,240,,,,,30000,,,Month 8 of 12; $300 qualifying debit purchases in the calendar month; calendar-month timing approximated as 30-day windows.
percapita-checking-300,9,transactions,241,270,,,,,30000,,,Month 9 of 12; $300 qualifying debit purchases in the calendar month; calendar-month timing approximated as 30-day windows.
percapita-checking-300,10,transactions,271,300,,,,,30000,,,Month 10 of 12; $300 qualifying debit purchases in the calendar month; calendar-month timing approximated as 30-day windows.
percapita-checking-300,11,transactions,301,330,,,,,30000,,,Month 11 of 12; $300 qualifying debit purchases in the calendar month; calendar-month timing approximated as 30-day windows.
percapita-checking-300,12,transactions,331,360,,,,,30000,,,Month 12 of 12; $300 qualifying debit purchases in the calendar month; calendar-month timing approximated as 30-day windows.
chase-total-checking-400,1,direct_deposit,,90,,,,,100000,,,"Payroll, pension or government direct deposits totaling $1,000 within 90 days of coupon enrollment (enroll by 10/14/2026)."
bank-of-america-personal-dd-100,1,direct_deposit,,90,,,,,200000,,,"Cumulative qualifying regular-income direct deposits of $2,000 within 90 days; SafeBalance accounts excluded from the DD offer."
bank-of-america-personal-dd-300,1,direct_deposit,,90,,,,,500000,,,"Cumulative qualifying regular-income direct deposits of $5,000 within 90 days; SafeBalance accounts excluded from the DD offer."
bank-of-america-personal-dd-500,1,direct_deposit,,90,,,,,1000000,,,"Cumulative qualifying regular-income direct deposits of $10,000 within 90 days; SafeBalance accounts excluded from the DD offer."
bank-of-america-safebalance-100,1,transactions,,60,,,,,,20,,20 posted qualifying debit card purchases/payments or Zelle sent/received transactions; no amount minimum stated.
sofi-checking-savings-50,1,direct_deposit,,,,,,,100000,,,"First eligible recurring payroll, pension or government ACH direct deposit ($1+) by 12/31/2026; eligible DDs must total $1,000 within 25 calendar days of that first DD (window anchored to the first DD, not opening)."
sofi-checking-savings-400,1,direct_deposit,,,,,,,500000,,,"First eligible recurring payroll, pension or government ACH direct deposit ($1+) by 12/31/2026; eligible DDs must total $5,000 within 25 calendar days of that first DD (window anchored to the first DD, not opening)."
fourleaf-checking-350,1,direct_deposit,,90,,,,,50000,1,50000,"Initial recurring direct deposit of at least $500 posts within 90 days ($350). Free, Smart or Student checking opened 2/2/2026-12/31/2026; $5 membership savings required."
fourleaf-checking-450,1,direct_deposit,,90,,,,,50000,1,50000,"Initial recurring direct deposit of at least $500 posts within 90 days ($350). Free, Smart or Student checking opened 2/2/2026-12/31/2026; $5 membership savings required."
fourleaf-checking-450,2,direct_deposit,,,,,,,50000,1,50000,Month 1 of 12 consecutive months after the initial DD: a $500+ direct deposit (additional $100). No fixed day window; timing follows the month the initial DD posts.
fourleaf-checking-450,3,direct_deposit,,,,,,,50000,1,50000,Month 2 of 12 consecutive months after the initial DD: a $500+ direct deposit (additional $100). No fixed day window; timing follows the month the initial DD posts.
fourleaf-checking-450,4,direct_deposit,,,,,,,50000,1,50000,Month 3 of 12 consecutive months after the initial DD: a $500+ direct deposit (additional $100). No fixed day window; timing follows the month the initial DD posts.
fourleaf-checking-450,5,direct_deposit,,,,,,,50000,1,50000,Month 4 of 12 consecutive months after the initial DD: a $500+ direct deposit (additional $100). No fixed day window; timing follows the month the initial DD posts.
fourleaf-checking-450,6,direct_deposit,,,,,,,50000,1,50000,Month 5 of 12 consecutive months after the initial DD: a $500+ direct deposit (additional $100). No fixed day window; timing follows the month the initial DD posts.
fourleaf-checking-450,7,direct_deposit,,,,,,,50000,1,50000,Month 6 of 12 consecutive months after the initial DD: a $500+ direct deposit (additional $100). No fixed day window; timing follows the month the initial DD posts.
fourleaf-checking-450,8,direct_deposit,,,,,,,50000,1,50000,Month 7 of 12 consecutive months after the initial DD: a $500+ direct deposit (additional $100). No fixed day window; timing follows the month the initial DD posts.
fourleaf-checking-450,9,direct_deposit,,,,,,,50000,1,50000,Month 8 of 12 consecutive months after the initial DD: a $500+ direct deposit (additional $100). No fixed day window; timing follows the month the initial DD posts.
fourleaf-checking-450,10,direct_deposit,,,,,,,50000,1,50000,Month 9 of 12 consecutive months after the initial DD: a $500+ direct deposit (additional $100). No fixed day window; timing follows the month the initial DD posts.
fourleaf-checking-450,11,direct_deposit,,,,,,,50000,1,50000,Month 10 of 12 consecutive months after the initial DD: a $500+ direct deposit (additional $100). No fixed day window; timing follows the month the initial DD posts.
fourleaf-checking-450,12,direct_deposit,,,,,,,50000,1,50000,Month 11 of 12 consecutive months after the initial DD: a $500+ direct deposit (additional $100). No fixed day window; timing follows the month the initial DD posts.
fourleaf-checking-450,13,direct_deposit,,,,,,,50000,1,50000,Month 12 of 12 consecutive months after the initial DD: a $500+ direct deposit (additional $100). No fixed day window; timing follows the month the initial DD posts.
fourleaf-checking-550,1,direct_deposit,,90,,,,,50000,1,50000,"Initial recurring direct deposit of at least $500 posts within 90 days ($350). Free, Smart or Student checking opened 2/2/2026-12/31/2026; $5 membership savings required."
fourleaf-checking-550,2,direct_deposit,,,,,,,50000,1,50000,"Month 1 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,3,direct_deposit,,,,,,,50000,1,50000,"Month 2 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,4,direct_deposit,,,,,,,50000,1,50000,"Month 3 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,5,direct_deposit,,,,,,,50000,1,50000,"Month 4 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,6,direct_deposit,,,,,,,50000,1,50000,"Month 5 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,7,direct_deposit,,,,,,,50000,1,50000,"Month 6 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,8,direct_deposit,,,,,,,50000,1,50000,"Month 7 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,9,direct_deposit,,,,,,,50000,1,50000,"Month 8 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,10,direct_deposit,,,,,,,50000,1,50000,"Month 9 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,11,direct_deposit,,,,,,,50000,1,50000,"Month 10 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,12,direct_deposit,,,,,,,50000,1,50000,"Month 11 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,13,direct_deposit,,,,,,,50000,1,50000,"Month 12 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,14,direct_deposit,,,,,,,50000,1,50000,"Month 13 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,15,direct_deposit,,,,,,,50000,1,50000,"Month 14 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,16,direct_deposit,,,,,,,50000,1,50000,"Month 15 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,17,direct_deposit,,,,,,,50000,1,50000,"Month 16 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,18,direct_deposit,,,,,,,50000,1,50000,"Month 17 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,19,direct_deposit,,,,,,,50000,1,50000,"Month 18 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,20,direct_deposit,,,,,,,50000,1,50000,"Month 19 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,21,direct_deposit,,,,,,,50000,1,50000,"Month 20 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,22,direct_deposit,,,,,,,50000,1,50000,"Month 21 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,23,direct_deposit,,,,,,,50000,1,50000,"Month 22 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,24,direct_deposit,,,,,,,50000,1,50000,"Month 23 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
fourleaf-checking-550,25,direct_deposit,,,,,,,50000,1,50000,"Month 24 of 24 consecutive months after the initial DD: a $500+ direct deposit (additional $100 after month 12, another $100 after month 24). No fixed day window; timing follows the month the initial DD posts."
citi-regular-checking-325,1,direct_deposit,,90,,,,,300000,2,,"At least two Enhanced Direct Deposits totaling $3,000 within 90 days of opening; EDD includes qualifying ACH payroll and P2P/Zelle, not instant or debit-card transfers."
citi-checking-savings-475,1,direct_deposit,,45,,,,,300000,2,,"At least two Enhanced Direct Deposits totaling $3,000 within 45 days of opening."
citi-checking-savings-475,2,balance,,45,,,,,500000,,,"Deposit $5,000 New-to-Citibank funds within 45 days and maintain a total $5,000 across the new checking and savings; maintenance end not established."
affinity-referral-checking-100,1,direct_deposit,,60,,,,,50000,,,"Recurring qualifying ACH direct deposits (payroll, Social Security, unemployment, pension) totaling $500+ in one calendar month, within 60 days of opening. Genuine referral and $5 membership share required."
live-oak-personal-savings-300,1,balance,,,2026-10-16,,,2027-01-13,2000000,,,"Open 9/8-10/16/2026; fund $20,000 external new money by 5pm ET 10/16/2026 and keep at least $20,000 for 90 consecutive days from the day the balance reaches $20,000 (hold end assumes funding on the deadline)."
ameriprise-checking-400,1,direct_deposit,,90,,,,,150000,,,"Cumulative new recurring payroll, pension or government ACH direct deposits."
ameriprise-savings-350,1,balance,31,30,,,120,,2500000,,,"Eligible deposits within 30 days (external funds, qualifying brokerage pass-through, specified money-market redemptions); maintain tier daily balance for the 90 calendar days after the funding period (days 31-120)."
ameriprise-savings-650,1,balance,31,30,,,120,,5000000,,,"Eligible deposits within 30 days (external funds, qualifying brokerage pass-through, specified money-market redemptions); maintain tier daily balance for the 90 calendar days after the funding period (days 31-120)."
ameriprise-savings-1000,1,balance,31,30,,,120,,10000000,,,"Eligible deposits within 30 days (external funds, qualifying brokerage pass-through, specified money-market redemptions); maintain tier daily balance for the 90 calendar days after the funding period (days 31-120)."
hsbc-premier-net-new-500,1,balance,,,2026-12-31,,,2027-03-31,5000000,,,"Net new assets to eligible Premier checking/savings, Managed Portfolio or Spectrum; both eligible-account balance and baseline must increase by the tier and the net increase be maintained through 3/31/2027. Lowest maintained increase sets the tier; existing baseline balances must also be preserved."
hsbc-premier-net-new-500,2,other,,,2027-03-31,,,,,,,Opt into HSBC marketing communications by 3/31/2027 and stay opted in through the 5/31/2027 payout.
hsbc-premier-net-new-1500,1,balance,,,2026-12-31,,,2027-03-31,15000000,,,"Net new assets to eligible Premier checking/savings, Managed Portfolio or Spectrum; both eligible-account balance and baseline must increase by the tier and the net increase be maintained through 3/31/2027. Lowest maintained increase sets the tier; existing baseline balances must also be preserved."
hsbc-premier-net-new-1500,2,other,,,2027-03-31,,,,,,,Opt into HSBC marketing communications by 3/31/2027 and stay opted in through the 5/31/2027 payout.
hsbc-premier-net-new-2500,1,balance,,,2026-12-31,,,2027-03-31,25000000,,,"Net new assets to eligible Premier checking/savings, Managed Portfolio or Spectrum; both eligible-account balance and baseline must increase by the tier and the net increase be maintained through 3/31/2027. Lowest maintained increase sets the tier; existing baseline balances must also be preserved."
hsbc-premier-net-new-2500,2,other,,,2027-03-31,,,,,,,Opt into HSBC marketing communications by 3/31/2027 and stay opted in through the 5/31/2027 payout.
hsbc-premier-net-new-3500,1,balance,,,2026-12-31,,,2027-03-31,50000000,,,"Net new assets to eligible Premier checking/savings, Managed Portfolio or Spectrum; both eligible-account balance and baseline must increase by the tier and the net increase be maintained through 3/31/2027. Lowest maintained increase sets the tier; existing baseline balances must also be preserved."
hsbc-premier-net-new-3500,2,other,,,2027-03-31,,,,,,,Opt into HSBC marketing communications by 3/31/2027 and stay opted in through the 5/31/2027 payout.
hsbc-premier-net-new-7000,1,balance,,,2026-12-31,,,2027-03-31,100000000,,,"Net new assets to eligible Premier checking/savings, Managed Portfolio or Spectrum; both eligible-account balance and baseline must increase by the tier and the net increase be maintained through 3/31/2027. Lowest maintained increase sets the tier; existing baseline balances must also be preserved."
hsbc-premier-net-new-7000,2,other,,,2027-03-31,,,,,,,Opt into HSBC marketing communications by 3/31/2027 and stay opted in through the 5/31/2027 payout.
hsbc-premier-net-new-10000,1,balance,,,2026-12-31,,,2027-03-31,250000000,,,"Net new assets to eligible Premier checking/savings, Managed Portfolio or Spectrum; both eligible-account balance and baseline must increase by the tier and the net increase be maintained through 3/31/2027. Lowest maintained increase sets the tier; existing baseline balances must also be preserved."
hsbc-premier-net-new-10000,2,other,,,2027-03-31,,,,,,,Opt into HSBC marketing communications by 3/31/2027 and stay opted in through the 5/31/2027 payout.
raisin-stack-10000-base,1,balance,,,,,,,1000000,,,Reach the tier total in qualifying partner-bank deposits within 14 days of the initial deposit (initiated 9/1-9/30/2026) and maintain through 90 days from the initial deposit; the initial-deposit anchor is not an account-opening day offset.
raisin-stack-10000-boost,1,balance,,,,,,,1000000,,,Reach the tier total in qualifying partner-bank deposits within 14 days of the initial deposit (initiated 9/1-9/30/2026) and maintain through 90 days from the initial deposit; the initial-deposit anchor is not an account-opening day offset.
raisin-stack-10000-boost,2,other,,,,,,,,,,"Deposit at least $1,000 in a second qualifying product category within 14 days of the initial deposit and keep over $1,000 in both categories through day 90; part of the tier total, not added capital."
raisin-stack-25000-base,1,balance,,,,,,,2500000,,,Reach the tier total in qualifying partner-bank deposits within 14 days of the initial deposit (initiated 9/1-9/30/2026) and maintain through 90 days from the initial deposit; the initial-deposit anchor is not an account-opening day offset.
raisin-stack-25000-boost,1,balance,,,,,,,2500000,,,Reach the tier total in qualifying partner-bank deposits within 14 days of the initial deposit (initiated 9/1-9/30/2026) and maintain through 90 days from the initial deposit; the initial-deposit anchor is not an account-opening day offset.
raisin-stack-25000-boost,2,other,,,,,,,,,,"Deposit at least $1,000 in a second qualifying product category within 14 days of the initial deposit and keep over $1,000 in both categories through day 90; part of the tier total, not added capital."
raisin-stack-50000-base,1,balance,,,,,,,5000000,,,Reach the tier total in qualifying partner-bank deposits within 14 days of the initial deposit (initiated 9/1-9/30/2026) and maintain through 90 days from the initial deposit; the initial-deposit anchor is not an account-opening day offset.
raisin-stack-50000-boost,1,balance,,,,,,,5000000,,,Reach the tier total in qualifying partner-bank deposits within 14 days of the initial deposit (initiated 9/1-9/30/2026) and maintain through 90 days from the initial deposit; the initial-deposit anchor is not an account-opening day offset.
raisin-stack-50000-boost,2,other,,,,,,,,,,"Deposit at least $1,000 in a second qualifying product category within 14 days of the initial deposit and keep over $1,000 in both categories through day 90; part of the tier total, not added capital."
raisin-stack-100000-base,1,balance,,,,,,,10000000,,,Reach the tier total in qualifying partner-bank deposits within 14 days of the initial deposit (initiated 9/1-9/30/2026) and maintain through 90 days from the initial deposit; the initial-deposit anchor is not an account-opening day offset.
raisin-stack-100000-boost,1,balance,,,,,,,10000000,,,Reach the tier total in qualifying partner-bank deposits within 14 days of the initial deposit (initiated 9/1-9/30/2026) and maintain through 90 days from the initial deposit; the initial-deposit anchor is not an account-opening day offset.
raisin-stack-100000-boost,2,other,,,,,,,,,,"Deposit at least $1,000 in a second qualifying product category within 14 days of the initial deposit and keep over $1,000 in both categories through day 90; part of the tier total, not added capital."
raisin-stack-200000-base,1,balance,,,,,,,20000000,,,Reach the tier total in qualifying partner-bank deposits within 14 days of the initial deposit (initiated 9/1-9/30/2026) and maintain through 90 days from the initial deposit; the initial-deposit anchor is not an account-opening day offset.
raisin-stack-200000-boost,1,balance,,,,,,,20000000,,,Reach the tier total in qualifying partner-bank deposits within 14 days of the initial deposit (initiated 9/1-9/30/2026) and maintain through 90 days from the initial deposit; the initial-deposit anchor is not an account-opening day offset.
raisin-stack-200000-boost,2,other,,,,,,,,,,"Deposit at least $1,000 in a second qualifying product category within 14 days of the initial deposit and keep over $1,000 in both categories through day 90; part of the tier total, not added capital."
chase-business-complete-400,1,balance,,30,,,60,,200000,,,New money deposited within 30 days of offer enrollment; maintain the tier balance for 60 days from enrollment.
chase-business-complete-400,2,transactions,,90,,,,,,5,,"Qualifying transactions: ACH credits, check deposits, debit card purchases, wires, bill pay or QuickAccept."
chase-business-complete-500,1,balance,,30,,,60,,1000000,,,New money deposited within 30 days of offer enrollment; maintain the tier balance for 60 days from enrollment.
chase-business-complete-500,2,transactions,,90,,,,,,5,,"Qualifying transactions: ACH credits, check deposits, debit card purchases, wires, bill pay or QuickAccept."
capital-one-business-500,1,balance,,30,,60,,,500000,,,"External funds within 30 days; keep a minimum end-of-day $5,000 balance for at least 60 days within the first 90 days."
capital-one-business-500,2,transactions,,90,,,,,,10,,"Qualifying electronic wires, remote check deposits, ACH or instant transfers."
citi-business-checking-300,1,other,,,2026-10-06,,,,,,,Ask a Citi business specialist to enroll the account in the offer by 10/6/2026.
citi-business-checking-300,2,balance,46,45,,,90,,500000,,,New-to-Citibank available funds by day 45; maintain the tier daily balance days 46-90 inclusive. May combine the new checking and a same-TIN IMMA; if day 45 is a nonbusiness day the next business day counts.
citi-business-checking-500,1,other,,,2026-10-06,,,,,,,Ask a Citi business specialist to enroll the account in the offer by 10/6/2026.
citi-business-checking-500,2,balance,46,45,,,90,,2000000,,,New-to-Citibank available funds by day 45; maintain the tier daily balance days 46-90 inclusive. May combine the new checking and a same-TIN IMMA; if day 45 is a nonbusiness day the next business day counts.
citi-business-checking-1000,1,other,,,2026-10-06,,,,,,,Ask a Citi business specialist to enroll the account in the offer by 10/6/2026.
citi-business-checking-1000,2,balance,46,45,,,90,,5000000,,,New-to-Citibank available funds by day 45; maintain the tier daily balance days 46-90 inclusive. May combine the new checking and a same-TIN IMMA; if day 45 is a nonbusiness day the next business day counts.
citi-business-checking-1500,1,other,,,2026-10-06,,,,,,,Ask a Citi business specialist to enroll the account in the offer by 10/6/2026.
citi-business-checking-1500,2,balance,46,45,,,90,,10000000,,,New-to-Citibank available funds by day 45; maintain the tier daily balance days 46-90 inclusive. May combine the new checking and a same-TIN IMMA; if day 45 is a nonbusiness day the next business day counts.
citi-business-checking-2000,1,other,,,2026-10-06,,,,,,,Ask a Citi business specialist to enroll the account in the offer by 10/6/2026.
citi-business-checking-2000,2,balance,46,45,,,90,,20000000,,,New-to-Citibank available funds by day 45; maintain the tier daily balance days 46-90 inclusive. May combine the new checking and a same-TIN IMMA; if day 45 is a nonbusiness day the next business day counts.
us-bank-business-400,1,balance,30,30,,,60,,500000,,,External new money deposited within 30 days; maintain the daily balance through day 60.
us-bank-business-400,2,transactions,,60,,,,,,6,,"Posted qualifying transactions: debit card, ACH, wire, Zelle, mobile check deposit, checks, business bill pay or Payment Solutions; internal and credit card transfers excluded."
us-bank-business-1200,1,balance,30,30,,,60,,2500000,,,External new money deposited within 30 days; maintain the daily balance through day 60.
us-bank-business-1200,2,transactions,,60,,,,,,6,,"Posted qualifying transactions: debit card, ACH, wire, Zelle, mobile check deposit, checks, business bill pay or Payment Solutions; internal and credit card transfers excluded."
us-bank-business-900-state-farm,1,balance,30,30,,,60,,1000000,,,External new money deposited within 30 days; maintain the daily balance through day 60.
us-bank-business-900-state-farm,2,transactions,,60,,,,,,6,,"Posted qualifying transactions: debit card, ACH, wire, Zelle, mobile check deposit, checks, business bill pay or Payment Solutions; internal and credit card transfers excluded."
us-bank-business-1500-state-farm,1,balance,30,30,,,60,,2500000,,,External new money deposited within 30 days; maintain the daily balance through day 60.
us-bank-business-1500-state-farm,2,transactions,,60,,,,,,6,,"Posted qualifying transactions: debit card, ACH, wire, Zelle, mobile check deposit, checks, business bill pay or Payment Solutions; internal and credit card transfers excluded."
bluevine-business-nw500,1,balance,31,30,,,120,,500000,,,"Deposit $5,000 within 30 days; maintain a $5,000 minimum daily balance for the next 90 days."
