card_name,issuer,is_business,network,bonus_amount,bonus_currency,point_value_cpp,bonus_value_usd,min_spend_usd,spend_window_months,annual_fee_usd,annual_fee_waived_y1,first_year_credits_usd,estimated_first_year_value_usd,notes,source,source_url,source_checked,apply_url,offer_channel,verification_status,expiration_date,spend_window_days
Chase Ink Unlimited,Chase,true,Visa,1000,USD,,1000,8000,4,0,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":1000,""bonus_currency"":""USD"",""min_spend_usd"":8000,""spend_window_months"":4,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: The new cardmember bonus may not be available to you if you have ever had this card or any other Chase for Business card without an annual fee. We may also consider factors pertinent to your business in determining your bonus eligibility. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification.; Spend/window of struck-through historical headline not provided. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/business-credit-cards/ink/unlimited,2026-09-16,https://creditcards.chase.com/business-credit-cards/ink/unlimited,public,verified,,
Chase United Business,Chase,true,Visa,100000,United miles,1.4,1400.0,5000,3,150,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":100000,""bonus_currency"":""United miles"",""min_spend_usd"":5000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""},{""kind"":""signup_component"",""bonus_amount"":10000,""bonus_currency"":""United miles"",""min_spend_usd"":null,""spend_window_months"":3,""condition"":""Add an employee card (business) / authorized user (personal) in first 3 months; no separate purchase threshold stated"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""},{""kind"":""signup_component"",""bonus_amount"":2000,""bonus_currency"":""United PQP"",""min_spend_usd"":5000,""spend_window_months"":3,""condition"":""Same purchase threshold as base signup miles; status points, not redeemable miles"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: **10,000 Bonus Miles After You Add An Authorized User In The First 3 Months From Account Opening: This product is not available to either (i) current Cardmembers of this credit card, or (ii) previous Cardmembers of this credit card who received a new Cardmember bonus for this credit card within the last 24 months.** With this bonus offer, you will qualify and receive 10,000 bonus miles after your addition of an authorized user to your account during the first 3 months from account opening. 10,000 bonus miles will only be awarded once, for the first authorized user added to your account regardless of how many total authorized users you add to your account. After qualifying, please allow 6 to 8 weeks for bonus miles to post to your account. To be eligible for this bonus offer, account must be open and not in default, and authorized user must be on your account at the time of fulfillment. These miles do not count toward Premier status. If your account is not open for at least 6 months, United and Chase reserve the right to deduct the bonus miles from your MileagePlus Program account. Chase is not responsible for the provision of, or failure to provide, the 10,000 bonus miles, which will post directly to your MileagePlus account and not appear on your credit card statement. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/business-credit-cards/united/united-business-card,2026-09-16,https://creditcards.chase.com/business-credit-cards/united/united-business-card,public,verified,,
Capital One Venture Business,Capital One,true,Visa,100000,Capital One miles,,,10000,3,95,,,,"Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":100000,""bonus_currency"":""Capital One miles"",""min_spend_usd"":10000,""window"":{""value"":3,""unit"":""months"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://www.capitalone.com/small-business/credit-cards/venture-business/"",""https://www.capitalone.com/small-business/credit-cards/""]}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting; first_year_fee_waiver_not_separately_stated; prior_cardholder_bonus_cooldown No verified application end date; offer subject to change.",Capital One,https://www.capitalone.com/small-business/credit-cards/venture-business/,2026-09-16,https://www.capitalone.com/small-business/credit-cards/venture-business/,public,verified,,
Chase Ink Preferred,Chase,true,Visa,100000,Chase UR,1.6,1600.0,8000,3,95,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":100000,""bonus_currency"":""Chase UR"",""min_spend_usd"":8000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: The new cardmember bonus may not be available to you if you have ever had this card. We may also consider factors pertinent to your business in determining your bonus eligibility. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/business-credit-cards/ink/business-preferred,2026-09-16,https://creditcards.chase.com/business-credit-cards/ink/business-preferred,public,verified,,
Chase Sapphire Preferred,Chase,false,Visa,75000,Chase UR,1.6,1200.0,5000,3,95,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":75000,""bonus_currency"":""Chase UR"",""min_spend_usd"":5000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: $95 annual fee [† Opens pricing and terms in new window](https://sites.chase.com/services/creatives/pricingandterms.html/content/dam/pricingandterms/LGC65222.html) 19.24 Min. of (6.75+12.49) and 29.99 %– 27.49 Min. of (6.75+20.74) and 29.99 % variable APR. [† Opens pricing and terms in new window](https://sites.chase.com/services/creatives/pricingandterms.html/content/dam/pricingandterms/LGC65222.html) * Offer details Opens offer details overlay. † [Pricing & Terms Opens pricing and terms in new window.](https://sites.chase.com/services/creatives/pricingandterms.html/content/dam/pricingandterms/LGC65222.html) This credit card is unavailable to you if you currently have this card open. The new cardmember bonus may not be available to you if you previously held this card or received a new cardmember bonus for this card. We may also consider the number of cards you have opened and closed in determining your bonus eligibility. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/rewards-credit-cards/sapphire/preferred,2026-09-16,https://creditcards.chase.com/rewards-credit-cards/sapphire/preferred,public,verified,,
AmEx Gold,American Express,false,Amex,100000,Amex MR,1.6,1600.0,8000,6,325,false,,,"NOT A VERIFIED DEFAULT PUBLIC OFFER: issuer_headline_verified_legal_partial. AS HIGH AS / personalized maximum; actual offer may be lower or unavailable. Not a guaranteed public bonus. Audited reward components/tiers: [{""tier_id"":""current-public-offer"",""status"":""current_observed"",""min_spend_usd"":8000,""spend_window_months"":6,""rewards"":[{""amount"":100000,""currency"":""Amex MR"",""kind"":""points_or_miles"",""amount_type"":""up_to_personalized""}],""components_share_same_spend_gate"":true,""personalized"":true}] Eligibility: Unresolved: full_offer_eligibility_terms: Linked dynamic issuer terms returned an error in the browser. Product-page headline, spend, window and fee observed; cannot certify all legal eligibility restrictions.; applicant_specific_bonus_amount: Only maximum public offer is disclosed. Issuer reveals actual amount during application; no application or login performed. Lower amounts and ineligibility are possible; exact lower tiers are not public here.; expiration: No fixed offer end date disclosed in captured public offer evidence; subject to modification/revocation. No verified application end date; offer subject to change.",American Express,https://www.americanexpress.com/us/credit-cards/card/gold-card/,,https://www.americanexpress.com/us/credit-cards/card/gold-card/,personalized,unresolved,,
Chase Sapphire Reserve,Chase,false,Visa,100000,Chase UR,1.6,1600.0,6000,3,795,false,,,"Audited reward components/tiers: [{""kind"":""signup_component"",""bonus_amount"":100000,""bonus_currency"":""Chase UR"",""min_spend_usd"":6000,""spend_window_months"":3,""condition"":""Eligible purchases from account opening"",""status"":""verified_current_first_party"",""channel"":""public online issuer product page""}] Eligibility: 19.49 Min. of (6.75+12.74) and 29.99 %– 27.99 Min. of (6.75+21.24) and 29.99 % variable APR. [† Opens pricing and terms in new window](https://sites.chase.com/services/creatives/pricingandterms.html/content/dam/pricingandterms/LGC64842.html) * Offer Details Opens offer details overlay. † [Pricing & Terms Opens pricing and terms in new window.](https://sites.chase.com/services/creatives/pricingandterms.html/content/dam/pricingandterms/LGC64842.html) . This credit card is unavailable to you if you currently have this card open. The new cardmember bonus may not be available to you if you previously held this card or received a new cardmember bonus for this card. We may also consider the number of cards you have opened and closed in determining your bonus eligibility. Full captured terms and bonus conditions are retained in the dated audit. Unresolved: Offer application expiration not explicitly stated; do not infer from benefit expiration dates.; Individual approval and bonus eligibility are issuer-determined; no user eligibility certification. No verified application end date; offer subject to change.",Chase,https://creditcards.chase.com/rewards-credit-cards/sapphire/reserve,2026-09-16,https://creditcards.chase.com/rewards-credit-cards/sapphire/reserve,public,verified,,
Bank of America Alaska Atmos Ascent,Bank of America,false,Visa,70000,Atmos Rewards points,,,2500,,95,,,,"Spend window: 90 days from account_opening (not calendar months). Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":70000,""bonus_currency"":""Atmos Rewards points"",""min_spend_usd"":2500,""window"":{""value"":90,""unit"":""days"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://www.bankofamerica.com/credit-cards/products/alaska-airlines-credit-card/""]}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting; first_year_fee_waiver_not_separately_stated; prior_cardholder_bonus_cooldown No verified application end date; offer subject to change.",Bank of America,https://www.bankofamerica.com/credit-cards/products/alaska-airlines-credit-card/,2026-09-16,https://www.bankofamerica.com/credit-cards/products/alaska-airlines-credit-card/,public,verified,,90
Bank of America Alaska Atmos Business,Bank of America,true,Visa,70000,Atmos Rewards points,,,4000,,95,,,,"Spend window: 90 days from account_opening (not calendar months). Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":70000,""bonus_currency"":""Atmos Rewards points"",""min_spend_usd"":4000,""window"":{""value"":90,""unit"":""days"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://business.bankofamerica.com/en/credit-cards/atmos-rewards""]}] Annual fee structure: {""company_usd"": 70, ""per_card_usd"": 25, ""one_card_total_usd"": 95} Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting; prior_cardholder_bonus_cooldown No verified application end date; offer subject to change.",Bank of America,https://business.bankofamerica.com/en/credit-cards/atmos-rewards,2026-09-16,https://www.bankofamerica.com/smallbusiness/credit-cards/products/alaska-airlines-business-credit-card/,public,verified,,90
Bank of America Alaska Atmos Summit,Bank of America,false,Visa,80000,Atmos Rewards points,,,4000,,395,,,,"Spend window: 90 days from account_opening (not calendar months). Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":80000,""bonus_currency"":""Atmos Rewards points"",""min_spend_usd"":4000,""window"":{""value"":90,""unit"":""days"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://www.bankofamerica.com/credit-cards/products/alaska-airlines-infinite-credit-card/""]}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting; first_year_fee_waiver_not_separately_stated; prior_cardholder_bonus_cooldown No verified application end date; offer subject to change.",Bank of America,https://www.bankofamerica.com/credit-cards/products/alaska-airlines-infinite-credit-card/,2026-09-16,https://www.bankofamerica.com/credit-cards/products/alaska-airlines-infinite-credit-card/,public,verified,,90
Citi Strata Elite,Citi,false,Mastercard,75000,Citi TY,1.6,1200.0,6000,3,595,,,,"Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":75000,""bonus_currency"":""Citi ThankYou points"",""min_spend_usd"":6000,""window"":{""value"":3,""unit"":""months"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://www.citi.com/credit-cards/citi-strata-elite-credit-card"",""https://www.citi.com/credit-cards/travel-reward-credit-cards""]}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting; first_year_fee_waiver_not_separately_stated No verified application end date; offer subject to change.",Citi,https://www.citi.com/credit-cards/citi-strata-elite-credit-card,2026-09-16,https://www.citi.com/credit-cards/citi-strata-elite-credit-card,public,verified,,
Citi AAdvantage Platinum Select,Citi,false,Mastercard,50000,American miles,1.5,750.0,2500,3,99,true,,,"Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":50000,""bonus_currency"":""American Airlines AAdvantage miles"",""min_spend_usd"":2500,""window"":{""value"":3,""unit"":""months"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://www.citi.com/credit-cards/citi-aadvantage-platinum-select-world-elite-mastercard"",""https://www.citi.com/credit-cards/travel-reward-credit-cards"",""https://www.citi.com/credit-cards/view-all-credit-cards""]},{""tier_id"":""indexed_alternate_80000"",""status"":""unresolved_search_index_only"",""bonus_amount"":80000,""bonus_currency"":""American Airlines AAdvantage miles"",""min_spend_usd"":3500,""window"":{""value"":4,""unit"":""months"",""anchor"":""account_opening""},""relationship"":""alternate, NOT additive to 50K category offer"",""source_urls"":[""https://citi.com/?y_source=1_Mjg5MTcwMjctNTUzLWxvY2F0aW9uLndlYnNpdGU%3D""],""evidence_snippet"":""CITI® / AADVANTAGE® PLATINUM SELECT® Earn 80,000 AAdvantage® bonus miles after $3,500 in purchases within the first 4 months of account opening. Limited Time Offer! CITI® / AADVANTAGE BUSINESS™ CARD Earn 65,000 AAdvantage® Bonus Miles after $4,000 in purchases within the first 4 months of account opening. Apply Now!\n\nCITI STRATA℠ CARD 20,000 bonus points after $1,000 spent in the first 3 months of account opening CITI STRATA ELITE℠ CARD 75,000 bonus points Unlock extraordinary value in shopping, dining, travel and more. Terms apply."",""note"":""Issuer search index shows 80K; fetched issuer category page shows 50K. Exact alternate campaign availability not certified.""}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting; 80K_alternate_current_availability No verified application end date; offer subject to change.",Citi,https://www.citi.com/credit-cards/citi-aadvantage-platinum-select-world-elite-mastercard,2026-09-16,https://www.citi.com/credit-cards/citi-aadvantage-platinum-select-world-elite-mastercard,public,verified,,
Capital One Venture,Capital One,false,Visa,75000,Capital One miles,,,4000,3,95,,,,"Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":75000,""bonus_currency"":""Capital One miles"",""min_spend_usd"":4000,""window"":{""value"":3,""unit"":""months"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://www.capitalone.com/credit-cards/venture/""]}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting; first_year_fee_waiver_not_separately_stated No verified application end date; offer subject to change.",Capital One,https://www.capitalone.com/credit-cards/venture/,2026-09-16,https://www.capitalone.com/credit-cards/venture/,public,verified,,
Capital One Venture X,Capital One,false,Visa,75000,Capital One miles,,,4000,3,395,,,,"Audited reward components/tiers: [{""tier_id"":""public_base"",""status"":""verified_first_party"",""bonus_amount"":75000,""bonus_currency"":""Capital One miles"",""min_spend_usd"":4000,""window"":{""value"":3,""unit"":""months"",""anchor"":""account_opening""},""relationship"":""base offer"",""source_urls"":[""https://www.capitalone.com/credit-cards/venture-x/""]}] Eligibility not fully verified; see linked issuer terms and audit evidence. Prior-cardholder restrictions may apply. Unresolved: offer_enrollment_expiration; complete_application_eligibility_and_underwriting; first_year_fee_waiver_not_separately_stated No verified application end date; offer subject to change.",Capital One,https://www.capitalone.com/credit-cards/venture-x/,2026-09-16,https://www.capitalone.com/credit-cards/venture-x/,public,verified,,
